Document,Region,Frequency Band
10.pdf,Motor area,Alpha
10.pdf,Motor area,Alpha
34.pdf,Frontal,Theta
34.pdf,Central,Theta
34.pdf,Motor,Theta
34.pdf,Parietal,Theta
34.pdf,Temporal,Theta
34.pdf,Occipital,Theta
35.pdf,NO LOCATION,Alpha
35.pdf,NO LOCATION,Theta
35.pdf,NO LOCATION,Alpha
35.pdf,NO LOCATION,Beta
35.pdf,NO LOCATION,Alpha
37.pdf,Temporal-spectral evolution method (TSE),Theta
37.pdf,Visual cortex,Theta
MI8.pdf,Week 1,Alpha
MI8.pdf,Week 2,Alpha
MI8.pdf,Week 3,Alpha
MI9.pdf,NO LOCATION,Alpha
MI9.pdf,NO LOCATION,Theta
MI9.pdf,NO LOCATION,Alpha
MI9.pdf,NO LOCATION,Beta
MI9.pdf,NO LOCATION,Alpha
MI12.pdf,Frontal,Alpha
MI12.pdf,Parietal,Alpha
MI3.pdf,- Frontal Lobe,Theta
MI3.pdf,- Parietal Lobe,Theta
MI3.pdf,- Temporal Lobe,Theta
MI3.pdf,- Occipital Lobe,Theta
MI3.pdf,- Cerebellum,Theta
MI3.pdf,- Thalamus,Theta
MI3.pdf,- Hypothalamus,Theta
MI3.pdf,- Amygdala,Theta
MI3.pdf,- Hippocampus,Theta
MI3.pdf,- Corpus Callosum,Theta
MI3.pdf,- Basal Ganglia,Theta
MI3.pdf,- Brainstem,Theta
MI3.pdf,- Spinal Cord,Theta
MI3.pdf,- Peripheral Nervous System,Theta
MI3.pdf,- Autonomic Nervous System,Theta
MI3.pdf,- Sympathetic Nervous System,Theta
MI3.pdf,- Parasympathetic Nervous System,Theta
MI3.pdf,- Enteric Nervous System,Theta
MI3.pdf,- Vagus Nerve,Theta
MI3.pdf,- Glossopharyngeal Nerve,Theta
MI3.pdf,- Hypoglossal Nerve,Theta
MI3.pdf,- Facial Nerve,Theta
MI3.pdf,- Trigeminal Nerve,Theta
MI3.pdf,- Abducens Nerve,Theta
MI3.pdf,- Oculomotor Nerve,Theta
MI3.pdf,- Trochlear Nerve,Alpha
MI1.pdf,- EEG,Beta
