Document,Region,Frequency Band
10.pdf,Frontal,Alpha
10.pdf,Central,Alpha
10.pdf,Motor,Alpha
10.pdf,Parietal,Alpha
10.pdf,Temporal,Alpha
10.pdf,Occipital,Alpha
34.pdf,Frontal,Alpha
34.pdf,Frontal,Theta
34.pdf,Frontal,Alpha
34.pdf,Frontal,Beta
34.pdf,Frontal,Alpha
34.pdf,Central,Alpha
34.pdf,Central,Theta
34.pdf,Central,Alpha
34.pdf,Central,Beta
34.pdf,Central,Alpha
34.pdf,Motor,Alpha
34.pdf,Motor,Theta
34.pdf,Motor,Alpha
34.pdf,Motor,Beta
34.pdf,Motor,Alpha
34.pdf,Parietal,Alpha
34.pdf,Parietal,Theta
34.pdf,Parietal,Alpha
34.pdf,Parietal,Beta
34.pdf,Parietal,Alpha
34.pdf,Temporal,Alpha
34.pdf,Temporal,Theta
34.pdf,Temporal,Alpha
34.pdf,Temporal,Beta
34.pdf,Occipital,Alpha
34.pdf,Occipital,Theta
34.pdf,Occipital,Alpha
34.pdf,Occipital,Beta
34.pdf,Occipital,Alpha
35.pdf,Sensitive-motor cortex,Theta
35.pdf,Pre-motor cortex,Theta
35.pdf,Supplementary motor cortex,Theta
37.pdf,Primary Visual Cortex,Theta
37.pdf,Auditory Cortex,Theta
37.pdf,Primary Motor Cortex,Theta
37.pdf,Supplementary Motor Area,Theta
37.pdf,Prefrontal Cortex,Alpha
37.pdf,Parietal Cortex,Alpha
MI8.pdf,Motor Imagery Classification,Alpha
MI8.pdf,Lesions,Alpha
MI8.pdf,Deep Sleep,Alpha
MI8.pdf,Motion Artefacts,Alpha
MI1.pdf,- Sensorimotor Cortex,Alpha
MI1.pdf,- Sensorimotor Cortex,Beta
MI2.pdf,Motor Imagery,Alpha
MI2.pdf,Motor Imagery,Alpha
MI15.pdf,Location,Alpha
MI15.pdf,Frontal,Alpha
MI15.pdf,Central,Alpha
MI15.pdf,Motor,Alpha
MI15.pdf,Parietal,Alpha
MI15.pdf,Temporal,Alpha
MI15.pdf,Occipital,Alpha
MI13.pdf,Primary Motor Cortex,Beta
MI13.pdf,Supplementary Motor Area,Beta
MI13.pdf,Premotor Cortex,Beta
MI13.pdf,Cerebellum,Beta
40.pdf,Frontal,Theta
40.pdf,Central,Theta
40.pdf,Motor,Theta
40.pdf,Parietal,Theta
40.pdf,Temporal,Theta
40.pdf,Occipital,Theta
AA1.pdf,Motor,Beta
38.pdf,Frontal Network,Alpha
AA9.pdf,"df = pd.read_csv('input.txt', sep='",Alpha
AA2.pdf,Frontal,Alpha
AA2.pdf,Frontal,Theta
AA2.pdf,Frontal,Alpha
AA2.pdf,Frontal,Beta
AA7.pdf,Frontal,Theta
AA7.pdf,Central,Theta
AA7.pdf,Motor,Theta
AA7.pdf,Parietal,Theta
AA7.pdf,Temporal,Theta
AA7.pdf,Occipital,Theta
IEA4.pdf,Frontal,Alpha
IEA4.pdf,Central,Alpha
IEA4.pdf,Motor,Alpha
IEA4.pdf,Parietal,Alpha
54.pdf,Mind wandering,Theta
54.pdf,Mind wandering,Beta
IEA8.pdf,Frontal,Alpha
IEA8.pdf,Central,Alpha
53.pdf,Frontal,Alpha
53.pdf,Occipital,Alpha
53.pdf,Parietal,Alpha
53.pdf,Temporal,Alpha
55.pdf,Frontal,Alpha
55.pdf,Frontal,Alpha
55.pdf,Frontal,Theta
51.pdf,Right parietal cortex,Alpha
57.pdf,1. Frontal,Alpha
57.pdf,2. Occipital,Alpha
57.pdf,3. Parietal,Alpha
57.pdf,4. Temporal,Alpha
57.pdf,5. Cerebellum,Alpha
57.pdf,6. Thalamus,Alpha
57.pdf,7. Hypothalamus,Alpha
57.pdf,8. Amygdala,Alpha
57.pdf,9. Hippocampus,Alpha
57.pdf,10. Basal ganglia,Alpha
57.pdf,11. Brainstem,Alpha
57.pdf,12. Spinal cord,Alpha
57.pdf,13. Peripheral nervous system,Alpha
57.pdf,14. Autonomic nervous system,Alpha
57.pdf,15. Sympathetic nervous system,Alpha
57.pdf,16. Parasympathetic nervous system,Alpha
57.pdf,17. Endocrine system,Alpha
57.pdf,18. Immune system,Alpha
57.pdf,19. Digestive system,Alpha
57.pdf,20. Respiratory system,Alpha
57.pdf,21. Cardiovascular system,Alpha
57.pdf,22. Musculoskeletal system,Alpha
57.pdf,23. Integumentary system,Alpha
57.pdf,24. Lymphatic system,Alpha
57.pdf,25. Urinary system,Alpha
57.pdf,26. Reproductive system,Alpha
57.pdf,27. Sensory system,Alpha
57.pdf,28. Auditory system,Alpha
57.pdf,29. Visual system,Alpha
57.pdf,30. Olfactory system,Alpha
